name,description,link,facebook,linkedin,instagram,youtube,website
Nittany Swing Brass Band,A group that focuses on playing music in the New Orleans style of jazz.,https://orgcentral.psu.edu/organization/thenittanyswing,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Nittanyville,We are the body of students who camp out for the front row of all home football games at Beaver Stadium.,https://orgcentral.psu.edu/organization/nittanyville,N/A,N/A,https://www.instagram.com/nittanyvillepsu,N/A,https://go.microsoft.com/fwlink
No Refund Theatre,"Provides opportunities for all students, regardless of major, to perform, direct, write and produce all types of theatre.",https://orgcentral.psu.edu/organization/norefundtheatrepsu,https://www.facebook.com/NoRefundTheatre,N/A,https://www.instagram.com/norefundtheatre,N/A,https://sites.psu.edu/norefundtheatrepsu
Non-Profit Poker Club,A place for people who enjoy poker and/or want to learn how to play poker without the risk of losing any money. *No actual money will be used,https://orgcentral.psu.edu/organization/nonprofit_poker,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
None of the Above,"Explores friendship, musicianship, and unique and varied forms of a cappella music for mixed voices (soprano, alto, tenor, and bass) through practice and performances on campus and off.",https://orgcentral.psu.edu/organization/nota,https://www.facebook.com/NoneOfTheAbovePSU,N/A,https://www.instagram.com/noneoftheabovepsu,https://www.youtube.com/user/NoneOfTheAbovePSU,https://go.microsoft.com/fwlink
North Halls Association of Students,"Encourages the betterment of the social and academic atmosphere within the North Halls residence area. Recognizes the opinions, needs, and desires of the individual student and north halls community.",https://orgcentral.psu.edu/organization/nhas,N/A,N/A,https://www.instagram.com/nhaspsu,N/A,https://go.microsoft.com/fwlink
Nouveau Theatre,"Nouveau Theatre, a production organization, provides any student, regardless of major, the opportunity to produce, write, direct, and act in new works of theatre.",https://orgcentral.psu.edu/organization/nouveautheatre,N/A,N/A,https://www.instagram.com/psunouveautheatre,N/A,https://go.microsoft.com/fwlink
Nritya,To facilitate an introduction to nurture and present traditional dance forms of India to all members of the Penn State University and State College Community.,https://orgcentral.psu.edu/organization/nritya,https://www.facebook.com/NrityaPSU,N/A,http://instagram.com/nritya_psu,N/A,https://go.microsoft.com/fwlink
Nuclear Navy Club,"The Penn State Nuclear Navy Club is an academic club created by Penn State NROTC which allows students to explore the nuclear pathways available through the United States Navy, as well as promote a higher academic understanding of math and physics.",https://orgcentral.psu.edu/organization/nuclearnavyclub,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Nutrition Graduate Student Association,Promotes cohesiveness and communication among graduate students in the various departments within the Interdepartmental Graduate Program in Nutrition and promotes a free exchange of information.,https://orgcentral.psu.edu/organization/nutrition-graduate-student-association,https://www.facebook.com/psungsa,N/A,N/A,N/A,https://go.microsoft.com/fwlink
NWTF Spur Collectors - Penn State Chapter,The purpose of the NWTF Spur Collectors - Penn State Chapter is support the conservation of the wild turkey and preserve the hunting heritage of Pennsylvania Sportsmen.,https://orgcentral.psu.edu/organization/nwtfspurcollectorspennstatechapter,https://www.facebook.com/NWTFPennStateSpurCollectors,N/A,https://www.instagram.com/nwtf_psu_spurcollectors,N/A,https://go.microsoft.com/fwlink
Occupational Therapy Club,To inform students interested in occupational therapy about opportunities for graduate school and other future endeavors.,https://orgcentral.psu.edu/organization/occupational-therapy-club,N/A,N/A,https://www.instagram.com/psuotclub,N/A,https://sites.psu.edu/otclub
Ohana,To provide fundraising opportunities and create awareness for the Penn State student body in support of the Penn State IFC/Panhellenic Dance MaraTHON.,https://orgcentral.psu.edu/organization/ohana,https://www.facebook.com/OhanaBenefittingTHON,N/A,https://www.instagram.com/ohana_psu,N/A,https://go.microsoft.com/fwlink
Omani Student Association,Represent Omani students in the local &amp; international events and organize various events to enhance Omani integration into the university community.,https://orgcentral.psu.edu/organization/osa,https://www.facebook.com/Omani-StudentsPSU-268211713216067,https://www.linkedin.com/company/omani-student-association-at-penn-state,https://www.instagram.com/oman_psu,N/A,http://www.clubs.psu.edu/up
Omega Chi Epsilon,"The Pennsylvania State University is proud to be the Beta Alpha Chapter of Omega Chi Epsilon, the chemical engineering honor society. The organization provides high scholarship opportunities and promotes student-faculty connections.",https://orgcentral.psu.edu/organization/oxe,N/A,https://www.linkedin.com/company/psuoxe,N/A,N/A,https://sites.psu.edu/psuoxe
Omega Chi Sigma,"Omega Chi Sigma is a co-ed preparatory professional fraternity. Its focus is on the interrelationship between the business world and the world of science, technology, engineering, and math-related fields.",https://orgcentral.psu.edu/organization/omega-chi-sigma,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Omega Delta Sigma,"The Penn State Military and Veterans Fraternity Omega Delta Sigma exists to enhance the lives of veterans and the surrounding community through outreach, philanthropy, social events, and volunteering.",https://orgcentral.psu.edu/organization/omega-delta-sigma,https://www.facebook.com/ODSPAA,N/A,https://www.instagram.com/ods_alpha_chapter_psu,N/A,https://go.microsoft.com/fwlink
Omega Phi Alpha,"Omega Phi Alpha is a National Service sorority and an associate chapter of the Penn State Panhellenic Council. Omega Phi Alpha was founded on the principles of friendship, leadership and service.",https://orgcentral.psu.edu/organization/omega-phi-alpha,N/A,N/A,https://www.instagram.com/ophia_psu,N/A,https://go.microsoft.com/fwlink
"Omega Psi Phi Fraternity, Inc.","Omega Psi Phi is a non profit organization founded on the Cardinal Principles of Manhood, Scholarship, Perseverance, and Uplift. We are seeking to engage our communities through service, social action, and projects.",https://orgcentral.psu.edu/organization/omega-psi-phi-fraternity-inc,N/A,N/A,https://www.instagram.com/pennstateques,N/A,https://go.microsoft.com/fwlink
One Health Club,"The club's mission is to bring together all aspects of One Health (environmental, public, and animal health). While bringing awareness we will also be educating others on careers within the field, providing guest speakers, and internship opportunities.",https://orgcentral.psu.edu/organization/ohc,N/A,N/A,https://www.instagram.com/onehealthpsu,N/A,https://go.microsoft.com/fwlink
Operation Blue and Gold,To give Naval ROTC students the opportunity to support the mission of the Penn State IFC/Panhellenic Dance Marathon and enhance the lives of children and families impacted by childhood cancer.,https://orgcentral.psu.edu/organization/operation-blue-and-gold,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
